step_id,description,input_id,capimg
1,「工事発注番号：」へ「abc112」を入力する,1,UC1/UC1_ベテラン/bdot20240415_142600/0415_142639_0.png
2,「工事実施日時：」へ「2024/1/13」を選択する,2,UC1/UC1_ベテラン/bdot20240415_142600/0415_142656_0.png
3,「お客様氏名：」へ「akasa ryu」を入力する,3,UC1/UC1_ベテラン/bdot20240415_142600/0415_142656_0.png
4,「設置場所：」へ「Tokyo」を入力する,4,UC1/UC1_ベテラン/bdot20240415_142600/0415_142656_0.png
5,「電話番号：」へ「090-123-456」を入力する,5,UC1/UC1_ベテラン/bdot20240415_142600/0415_142656_0.png
6,「設置環境：」から「平、丈夫」を選択する,6,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
7,「本体の設置場所：」へ「minato ku」を入力する,7,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
8,「室外機の設置場所：」へ「minatoku」を入力する,8,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
9,「配電盤の形状：」へ「丸」を入力する,9,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
10,「配電盤からの距離：」へ「300　メートル」を入力する,10,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
11,「契約ワット数：」へ「1000」を入力する,11,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
12,「電気工事(プラグの変更)：」の「有」を選択する,,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
13,「室外機への配管：」の「有」を選択する,,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
14,「化粧配管：」の「有」を選択する,,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
15,「室外機設定台座設置：」の「有」を選択する,,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
16,「延長配管有無：」の「」をチェックする,,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
17,「送信」を押下する,,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
