step_id,description,input_id,capimg
1,「工事発注番号：」へ「{1}」を入力する,1,UC1/UC1_ベテラン/bdot20240415_142600/0415_142639_0.png
2,「工事実施日時：」へ「{2}」を選択する,2,UC1/UC1_ベテラン/bdot20240415_142600/0415_142656_0.png
3,「お客様氏名：」へ「{3}」を入力する,3,UC1/UC1_ベテラン/bdot20240415_142600/0415_142656_0.png
4,「設置場所：」へ「{4}」を入力する,4,UC1/UC1_ベテラン/bdot20240415_142600/0415_142656_0.png
5,「電話番号：」へ「{5}」を入力する,5,UC1/UC1_ベテラン/bdot20240415_142600/0415_142656_0.png
6,「設置環境：」から「{6}」を選択する,6,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
7,「電気工事(プラグの変更)：」の「有」を選択する,,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
8,「室外機への配管：」の「有」を選択する,,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
9,「化粧配管：」の「有」を選択する,,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
10,「室外機設定台座設置：」の「有」を選択する,,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
11,「延長配管有無：」の「」をチェックする,,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
12,「送信」を押下する,,UC1/UC1_ベテラン/bdot20240415_142600/0415_142722_0.png
